问卷编号	英文提示词
1093	alternative wedding, americana, best day ever, boho luxe, boho wedding, cool bride, cool couple, cool groom, costa sisters, enchanted brides, festival bride, festival wedding, floral cown, grace loves lace, motorbikes, outdoor wedding, quirky bride, relaxed wedding, rock n roll, rose gold, rustic wedding, succulents, tattooed bride, tipi wedding, unique bride, wedfest, whiskey, world inspired tents
1094	2020 New Elegant Office Work Wear Pant Suits OL 2 Piece Sets Solid Blazer Jacket & Trousers Suit For Women Set Femme
1095	nursing young-Japanese caregivers and senior smile in the field.
1096	Running angry man chasing Santa Claus with a big present.
1097	Girl Excited By Receiving Lots Of Presents.
1098	Raising a smile-Anne V looked in good spirits as she emerged to attend the event.
1099	Smiling woman with asparagus, isolated on white.
1100	dog sledding in Lapland
1401	the girl holding an umbrella stands on a colorfully painted ground.
1402	a motel has a line of blankets hanging over the railing as two people play basketball in the parking lot.
1403	three snowboarders in snow gear and with snowboards standing next to a sing written in japanese.
1404	antique black and white photo of men carrying luggage
1405	the young woman is keeping her balance as she surfs a wave.
1406	a woman riding a bike near a bus and other people.
1407	the woman is surrounded by many suitcases of all shapes and sizes.
1408	there is a gray cat that is laying on a blue bag
1409	a group of people with camera equipment are piled into the back of a truck
1410	a black and white picture of a couple with people in the background.
1411	two ladies smiling while standing under umbrellas
1412	people walking down a sidewalk in the snow.
1413	three people ride an elephant while a man on the ground directs him.
1414	a man in sunglasses holding carrots and cucumbers
1415	an old man in a red jacket with a hotel luggage rack in a hotel entry way
1416	a woman sitting on a stool with her legs crossed and several pieces of luggage assembled around her.
1417	some people grass an orange frisbee and a building
1418	a person sitting down with a tennis racket pretending its a guitar
1419	dark haired woman standing on a street while taking a bite out of a sandwich.
1420	a woman sitting next to a display on the ground of jewelry is talking on the phone.
1421	a city street and sidewall that is wet with people standing under umbrellas and some people without umbrellas.
1422	woman texting on cell phone walking down sidewalk by large red fire hydrant.
1423	a policeman on a motorcycle drives in front of a sidewalk.
1424	an asian female holding four hello kitty pens in a retail store
1425	black and white photograph of a young man on cell phone.
1426	Jon Ashworth, Labour MP for Leicester South, visits Wesley Hall Elders Lunch Club and meets old friends and makes new ones -Fiday 27 july 2018
1427	After 20 years of competing at the Cheyenne Frontier Days Rodeo, Jerome Schneeberger of Ponca City, Okla., won the tie-down roping championship.
1428	Intel CEO Brian Krzanich listens to Node.js Sandbox creator Michael McCool at the Maker's Faire in San Mateo
1429	African-american Paintings -James Brown and His Famous Flames by Reggie Duffie
1430	athens-tourism-greece
1431	Housewife with frying pan.
1432	1940s WOMAN SITTING ON A ROPE SWING WITH A WICKER BASKET OF FRESH VEGETABLES ON HER LAP WHILE EATING A CARROT -Rights-Managed, Code-846-02793010
1433	Christmas dream Royalty Freegraphy
1434	Photograph -Cardinal On A Broken Branch by Jai Johnson
1435	Woman types on a Cobalt Blue Surface Laptop, sitting at a table.
1436	braided styles up do for hair on the sides formal hairstyles to make you the belle of the ball
1437	Chicago wedding, Lasalle bridge
1438	Commuters hang onto a crowded local passenger train in the eastern Indian city of Patna (Reuters file)
1439	hipster-dog-favorite-frequency
1440	The American Legion Riders Post 46 sponsored a homemade meatloaf meal with mashed potatoes and gravy, sweet corn and a variety of desserts Friday at post headquarters. This was the first in a series of monthly dinners, sponsored by the    Riders, as they collected free will   donations that will go toward           veteran-related interests. More dinners, along with Bingo will be held in November, December and into early 2018.
1441	Waterfront Partnership Announces Summer Social Series Lineup
1442	Designer Drashti Dhami  Party Wear Georgette Steal Blue And Blue  Sharara Suit
1443	Stork nesting on the cliffs at Cabo Sardao
1444	Pretty girl in Santa hat writes letter to Santa — ストック写真
1445	Pet Cat Dog Bed Warming Pod
1446	Smiling athletic brunette putting on helmet
1447	Support phone operator in headset, showing okay gesture —
1448	appliance repair and installation bradford
1449	Miss Richland County Fair Queen 2014, Sadie Gassmann, of Olney, Ill., center, reacts as her name is called to be the 2015 Miss Illinois County Fair Queen during the pageant at the Crowne Plaza, Sunday, Jan. 18, 2015, in Springfield, Ill. Justin L. 
1450	Anne Hathaway backstage at the 2013 Oscars.
